Sl. No.,Country,2018,2019,2020,2021,2022
85,Guatemala,1,0,0,0,2
86,Guinea,11,7,8,3,10
87,Guinea Bissau,NA,0,0,0,1
88,Guyana,183,200,10,104,145
89,Haiti,12,7,5,3,25
90,Heard and Mcdonald Islands,3,3,1,0,4
91,Honduras,7,1,2,0,3
92,Hong Kong,1465,1646,563,198,708
93,Hungury,513,440,243,304,389
94,Iceland,67,61,16,23,47
95,Indonesia,302,273,77,11,170
96,Iran,1016,737,186,600,1063
97,Iraq,100,78,17,65,79
98,Ireland,5089,6671,3272,4869,6211
99,Isle of Man,NA,NA,NA,NA,5
100,Israel,1092,1268,460,639,1061
101,Italy,4482,4791,3211,3008,3507
102,Ivory Cost,5,4,1,2,2
103,Jamaica,81,112,55,112,109
104,Japan,1856,1761,552,193,1423
105,Jersey,NA,1,0,0,9
106,Jordan,26,32,2,11,37
107,Kazakhstan,4596,6080,937,5625,8895
108,Kenya,309,312,40,155,250
109,Kiribati,4,2,0,2,5
110,Korea (Dpr),19,15,9,7,29
111,Korea (Republic of),1194,1180,526,631,1005
112,Kuwait,487,421,33,24,124
113,Kyrghyzstan,12199,12942,865,15162,14728
114,Laos,8,4,2,3,5
115,Latvia,1335,1464,539,537,750
116,Lebanon,16,13,2,4,6
117,Lesotho,0,2,0,1,NA
118,Liberia,4,3,2,3,1
119,Libya,1,0,0,1,NA
120,Liechtenstein,2,3,1,1,1
121,Lithuania,379,398,227,355,324
122,Luxembourg,36,48,21,53,46
123,Macau,37,34,4,3,17
124,Macedonia,5,3,0,0,1
125,Madagascar,3,1,0,0,1
126,Malawi,29,21,4,7,27
127,Malaysia,3668,4090,1121,567,2453
128,Maldives,92,132,59,384,174
129,Mali,3,2,1,1,3
130,Malta,299,540,250,222,599
131,Marshall Islands,0,0,0,0,NA
132,Martinique,0,0,0,0,1
133,Mauritania,27,28,9,11,27
134,Mauritius,1168,1590,956,827,1503
135,Mayotte,NA,1,0,1,NA
136,Mexico,66,50,13,1068,49
137,Micronesia (Federated States of),1,0,1,0,NA
138,Moldova,259,385,155,318,974
139,Monaco,NA,0,0,1,5
140,Mongolia,5,2,1,1,4
141,Montenegro,2,5,3,6,4
142,Morocco,12,19,21,3,5
143,Mozambique,3,8,1,0,16
144,Myanmar,29,43,13,6,22
145,Namibia,56,40,7,10,100
146,Nauru,1,4,1,1,18
147,Nepal,1074,909,221,379,444
148,Netherlands,2352,2593,1335,2006,1901
149,Netherlands Antilles,59,73,18,20,15
150,Neutral Zone,1,2,1,2,NA
151,New Caledonia,74,71,19,0,11
152,New Zealand,9502,10297,5321,64,1605
153,Nicaragua,4,4,2,0,NA
154,Niger,4,0,1,1,1
155,Nigeria,32,28,8,15,25
156,Niue Island,3,2,0,0,NA
157,Norfolk Island,3,1,1,1,3
158,Northern Mariana Islands,1,1,0,0,2
159,Norway,215,277,125,188,195
160,Oman,687,459,97,92,151
161,Pakistan,526,670,505,66,396
162,Palau,2,0,0,0,NA
163,Palestinian,2,2,0,0,NA
164,Panama,15,16,9,36,61
165,Papua New Guinea,5,5,3,0,4
166,Paraguay,7,4,2,2,6
167,Peru,12,6,3,1,7
168,Phillippines,12550,13479,4601,251,11261
169,Pitcairn,7,1,2,0,3
170,Poland,2788,2007,616,1046,1443
171,Portugal,177,190,79,155,163
172,Puerto Rico,2,1,1,0,3
173,Qatar,651,427,100,325,275
174,Republic of China Taiwan,903,1012,302,336,465
175,Republic of Croatia,11,21,14,36,77
176,Republic of Slovenia,32,30,6,12,53
177,Resident of Kosovo (Unmik),1,1,0,1,NA
178,Reunion Islands,5,6,5,2,7
179,Romania,48,49,24,52,78
180,Russian Federation,14857,16545,1387,15814,19784
181,Rwanda,5,12,4,4,4
182,Saint Christopher and Nevis,30,22,10,6,42
183,Saint Helena,17,17,4,0,NA
184,Saint Lucia,101,104,39,39,46
185,Saint Pierre and Miquelon,2,1,1,0,NA
186,Saint Vincent and The Grenadines,15,25,8,9,7
187,Samoa,5,0,0,0,NA
188,San Marino,1,2,0,2,9
189,Sao Tome and Princip,0,0,0,0,1
190,Saudi Arabia,875,623,136,135,774
191,Senegal,5,10,2,4,7
192,Serbia,29,33,12,330,132
193,Serbia and Montenegro,1,0,0,0,NA
194,Seychelles,48,54,7,4,18
195,Sierra Leone,28,16,2,1,19
196,Singapore,13838,15419,4860,2264,17085
197,Slovak Republic,143,171,48,85,93
198,Solomon Islands,1,0,0,0,1
199,Somalia,2,0,1,0,NA
200,South Africa,548,609,348,396,621
201,South Georgia and South Sandwich Islands,3,0,0,0,NA
202,South Sudan,0,2,0,0,1
203,Spain,1318,1624,840,1253,1384
204,Sri Lanka,459,429,107,64,179
205,Sudan,19,12,4,6,5
206,Suriname,4,3,0,1,NA
207,Svalbard and Jan Mayen Islands,1,0,0,0,NA
208,Swaziland,235,145,75,81,153
209,Sweden,1020,1059,664,806,639
210,Switzerland,1096,1184,566,754,870
211,Syria,7,2,1,1,2
212,Tanzania,75,90,58,107,217
213,Tazikistan,1153,1187,1248,1100,1112
214,Thailand,1318,1475,303,85,655
215,Togo,6,5,2,5,7
216,Tokelau,1,0,0,0,NA
217,Tonga,1,1,0,0,NA
218,Trinidad and Tobago,5,4,0,1,4
219,Tunisia,9,5,4,25,9
220,Turkey,260,333,65,212,300
221,Turkmenistan,1,8,1,1,NA
222,Turks and Caicos Isl,NA,1,0,1,NA
223,Tuvalu,1,1,0,0,2
224,Uganda,837,801,206,301,546
225,Ukraine,13140,13911,6723,18596,2199
226,United arab Emirates,13405,9341,2925,3427,5892
227,United Kingdom,25042,36612,44901,77855,132709
228,United States Minor Outlying Islands,36,28,11,21,NA
229,United States of America,120759,122535,62415,125115,190512
230,Uraguay,11,20,10,23,49
231,Uzbekistan,105,300,102,503,3430
232,Vanuatu,23,8,6,13,57
233,Vatican City - Holy See,2,0,0,0,NA
234,Venezuela,3,1,1,1,3
235,Vietnam,137,146,29,5,155
236,Virgin Islands (British),1,3,0,0,1
237,Virgin Islands (US),1,0,0,0,NA
238,Wallis and Futuna Islands,6,4,0,1,5
239,Zambia,29,29,23,46,133
240,Zimbabwe,0,1,0,2,3

